I/O Type Specific,Terminal Style,Rung Placement,Labeling Scheme,Notes,Default Standard,Terminal Style Definition,Term Brand,IT or MT,Fusing,Card Power Term L1,Card Power Term L2,Term Short Name
AO-C,L;L&G2|PXC|24V,0;2&3,#A;#B&SH,,INTERSTATES NF-MT,L;L&G2|PXC|24V|0;2&3|#A;#B&SH,PXC,MT&IT,None,No,No,TBD
AO-C,,,,,NO TERMINALS,,,,,,,
AO-V,F&L&G|PXC|24V,1&2&3,#&#-&#SH,,,F&L&G|PXC|24V|1&2&3|#&#-&#SH,PXC,IT,Fused,No,No,TBD
AO-V,F&L&G|TE|24V,1&2&3,#&#-&#SH,,,F&L&G|TE|24V|1&2&3|#&#-&#SH,TE,IT,Fused,No,No,TBD
AO-V,F&L&G|WAGO|24V,1&2&3,#&#-&#SH,,,F&L&G|WAGO|24V|1&2&3|#&#-&#SH,WAGO,IT,Fused,No,No,TBD
AO-V,F&L&G2|PXC|24V,0&2&3,#+&#-&SH,,INTERSTATES F-IT,F&L&G2|PXC|24V|0&2&3|#+&#-&SH,PXC,IT,Fused,No,No,TBD
AO-V,F;L&G2|PXC|24V,0;2&3,#A;#B&SH,,INTERSTATES F-MT,F;L&G2|PXC|24V|0;2&3|#A;#B&SH,PXC,MT&IT,Fused,No,No,TBD
AO-V,K;L&G2|TE|24V,0;2&3,#A;#B&SH,,AGP D-MT,K;L&G2|TE|24V|0;2&3|#A;#B&SH,TE,MT,None,No,No,TBD
AO-V,L&L&G2|PXC|24V,0&2&3,#+&#-&SH,,INTERSTATES NF-IT,L&L&G2|PXC|24V|0&2&3|#+&#-&SH,PXC,IT,None,No,No,TBD
AO-V,L;L&G2|PXC|24V,0;2&3,#A;#B&SH,,INTERSTATES NF-MT,L;L&G2|PXC|24V|0;2&3|#A;#B&SH,PXC,MT&IT,None,No,No,TBD
AO-V,L;L;G|PXC|24V,1;2;3,#A;#B;#SH,,,L;L;G|PXC|24V|1;2;3|#A;#B;#SH,PXC,MT,None,No,No,TBD
AO-V,L;L;G|TE|24V,1;2;3,#A;#B;#SH,,,L;L;G|TE|24V|1;2;3|#A;#B;#SH,TE,MT,None,No,No,TBD
AO-V,L;L;G|WAGO|24V,1;2;3,#A;#B;#SH,,,L;L;G|WAGO|24V|1;2;3|#A;#B;#SH,WAGO,MT,None,No,No,TBD
AO-V,,,,,NO TERMINALS,,,,,,,
DCI,F;L|PXC|24V,1;2,#A;#B,SAFETY MODULES ONLY,,F;L|PXC|24V|1;2|#A;#B,PXC,IT,Fused,No,No,TBD
DCI,F;L|TE|24V,1;2,#A;#B,SAFETY MODULES ONLY,,F;L|TE|24V|1;2|#A;#B,TE,IT,Fused,No,No,TBD
DCI,F;L|WAGO|24V,1;2,#A;#B,SAFETY MODULES ONLY,,F;L|WAGO|24V|1;2|#A;#B,WAGO,IT,Fused,No,No,TBD
DCI,Fj&L&Lc|PXC|24V,0&1&0,#+&#&C,,INTERSTATES F-IT,Fj&L&Lc|PXC|24V|0&1&0|#+&#&C,PXC,IT,Fused,No,Yes,TBD
DCI,Fj&L|PXC|24,0&1,#H&#,,,Fj&L|PXC|24|0&1|#H&#,PXC,IT,Fused,No,No,TBD
DCI,Fj&L|TE|24,0&1,#H&#,,,Fj&L|TE|24|0&1|#H&#,TE,IT,Fused,No,No,TBD
DCI,Fj&L|WAGO|24,0&1,#H&#,,,Fj&L|WAGO|24|0&1|#H&#,WAGO,IT,Fused,No,No,TBD
DCI,Fj;L&G2|PXC|24V,0;1&3,#A;#B&#SH,,,Fj;L&G2|PXC|24V|0;1&3|#A;#B&#SH,PXC,MT&IT,Fused,No,No,TBD
DCI,Fj;L&G2|TE|24V,0;1&3,#A;#B&#SH,,,Fj;L&G2|TE|24V|0;1&3|#A;#B&#SH,TE,MT&IT,Fused,No,No,TBD
DCI,Fj;L&G2|WAGO|24V,0;1&3,#A;#B&#SH,,,Fj;L&G2|WAGO|24V|0;1&3|#A;#B&#SH,WAGO,MT&IT,Fused,No,No,TBD
DCI,Fj;L&Lc|PXC|24V,0;1&0,#A;#B&C,,INTERSTATES F-MT,Fj;L&Lc|PXC|24V|0;1&0|#A;#B&C,PXC,MT,Fused,No,Yes,TBD
DCI,Fj;L&Lc|TE|24V,1;2&0,#A;#B&C,,,Fj;L&Lc|TE|24V|1;2&0|#A;#B&C,TE,MT,Fused,No,Yes,TBD
DCI,Fj;L&Lc|WAGO|24V,1;2&0,#A;#B&C,,,Fj;L&Lc|WAGO|24V|1;2&0|#A;#B&C,WAGO,MT,Fused,No,Yes,TBD
DCI,Fj;L&Lej&Lc|PXC|24V,0;1&2&0,#A;#B&#C&C,,,Fj;L&Lej&Lc|PXC|24V|0;1&2&0|#A;#B&#C&C,PXC,MT&IT,Fused,No,Yes,TBD
DCI,Fj;L&Lej&Lc|TE|24V,0;1&2&0,#A;#B&#C&C,,,Fj;L&Lej&Lc|TE|24V|0;1&2&0|#A;#B&#C&C,TE,MT&IT,Fused,No,Yes,TBD
DCI,Fj;L&Lej&Lc|WAGO|24V,0;1&2&0,#A;#B&#C&C,,,Fj;L&Lej&Lc|WAGO|24V|0;1&2&0|#A;#B&#C&C,WAGO,MT&IT,Fused,No,Yes,TBD
DCI,Fj;L&Te2j&Lc|PXC|24V,0;1&2&0,#A;#B&#C&C,,,Fj;L&Te2j&Lc|PXC|24V|0;1&2&0|#A;#B&#C&C,PXC,MT&IT,Fused,No,Yes,TBD
